id,name,nickname,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
063649e21bc9d6d5,Luiz Azeredo,,"5'9""",154,,1976,2.16,39,2.76,57,.1.07,50,45,..0.3,3,4,-1,-2
da603332ad41f165,Saad Awad,Assassin,"5'11""",155,,1983,2.13,26,1.87,60,.0.50,16,100,..0.5,0,1,-1,-1
9b28292abe3166d5,Brett Albee,,,225,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
d615d6a10a4704cd,Magno Almeida,,"6'0""",155,,1985,1.67,36,2.6,41,.0.00,0,40,..5.0,0,2,-2,-2
53c21779d84ceb75,Jay Bogan,,,145,,  --,0,0,0,0,.0.00,0,0,..0.0,0,0,0,0
46baf0f57edfa4df,Joey Beltran,The Mexicutioner,"6'1""",185,75,1981,4.92,36,5.27,54,.0.48,18,75,..0.0,3,7,-4,-1
c5a126ace82a6025,Anthony Birchak,El Toro,"5'8""",135,69,1986,3.98,35,2.26,66,.0.68,16,83,..0.0,2,2,0,1
e023fa2e648ea0f1,Steve Bosse,The Boss,"5'11""",205,72,1981,5.99,52,5.38,50,.0.92,33,100,..0.0,2,1,1,2
99df7d0a2a08a8a8,Jan Blachowicz,,"6'2""",205,78,1983,3.64,50,3.01,53,.1.59,54,55,..0.4,6,4,2,4
a8c9d16fe2a14d72,CM Punk,CM Punk,"6'1""",170,73,1978,1.1,23,4.87,40,.0.87,11,0,..0.0,0,2,-2,-2
dc63542668295c23,Michael Bravo,,,155,,  --,0,0,0,0,.0.00,0,0,..0.0,0,1,-1,-1
0ee783aa00e468f0,Vitor Belfort,The Phenom,"6'0""",185,74,1977,1.59,46,2.83,50,.1.02,60,53,..0.6,24,14,10,-1
8fd1f27e86661ede,Alexandre Barros,Baixinho,"5'9""",170,,1976,0.98,40,4.05,36,.1.84,50,100,..0.0,0,1,-1,-1
dcdc4503b9d49977,Julia Budd,,"5'7""",145,67,1983,3.4,76,0.81,47,.2.43,62,83,..0.0,2,2,0,-1
f0c779dc2ca3816c,George Bush,,"6'1""",205,,  --,6.35,64,2.31,55,.17.31,66,0,..0.0,0,1,-1,-1
2c2caf2f2bab9df5,Humberto Bandenay,,"5'11""",145,,1994,6.46,77,9.23,54,.0.00,0,0,..13.8,1,2,-1,-2
