event_id,method
23bd78c3f89bdb54,U-DEC
23bd78c3f89bdb54,U-DEC
23bd78c3f89bdb54,U-DEC
23bd78c3f89bdb54,U-DEC
23bd78c3f89bdb54,U-DEC
23bd78c3f89bdb54,SUB
23bd78c3f89bdb54,U-DEC
99bf06f20491cb54,SUB
99bf06f20491cb54,KO/TKO
99bf06f20491cb54,U-DEC
99bf06f20491cb54,KO/TKO
99bf06f20491cb54,U-DEC
99bf06f20491cb54,M-DEC
99bf06f20491cb54,U-DEC
99bf06f20491cb54,U-DEC
99bf06f20491cb54,U-DEC
99bf06f20491cb54,S-DEC
99bf06f20491cb54,KO/TKO
99bf06f20491cb54,U-DEC
99bf06f20491cb54,KO/TKO
353de740bb6c7e75,KO/TKO
353de740bb6c7e75,U-DEC
353de740bb6c7e75,U-DEC
353de740bb6c7e75,U-DEC
353de740bb6c7e75,SUB
353de740bb6c7e75,KO/TKO
353de740bb6c7e75,KO/TKO
353de740bb6c7e75,SUB
353de740bb6c7e75,U-DEC
353de740bb6c7e75,KO/TKO
353de740bb6c7e75,U-DEC
353de740bb6c7e75,U-DEC
90e7447d8b7f3f35,KO/TKO
90e7447d8b7f3f35,KO/TKO
90e7447d8b7f3f35,KO/TKO
90e7447d8b7f3f35,KO/TKO
90e7447d8b7f3f35,SUB
90e7447d8b7f3f35,U-DEC
90e7447d8b7f3f35,KO/TKO
90e7447d8b7f3f35,U-DEC
90e7447d8b7f3f35,U-DEC
90e7447d8b7f3f35,S-DEC
90e7447d8b7f3f35,U-DEC
1507214bbc7a79e2,KO/TKO
1507214bbc7a79e2,SUB
1507214bbc7a79e2,U-DEC
1507214bbc7a79e2,KO/TKO
1507214bbc7a79e2,KO/TKO
1507214bbc7a79e2,S-DEC
1507214bbc7a79e2,SUB
1507214bbc7a79e2,KO/TKO
1507214bbc7a79e2,SUB
1507214bbc7a79e2,U-DEC
1507214bbc7a79e2,SUB
1507214bbc7a79e2,KO/TKO
1c7cce2f5c17160d,KO/TKO
1c7cce2f5c17160d,KO/TKO
1c7cce2f5c17160d,KO/TKO
1c7cce2f5c17160d,S-DEC
1c7cce2f5c17160d,U-DEC
1c7cce2f5c17160d,KO/TKO
1c7cce2f5c17160d,U-DEC
1c7cce2f5c17160d,U-DEC
1c7cce2f5c17160d,S-DEC
1c7cce2f5c17160d,KO/TKO
1c7cce2f5c17160d,U-DEC
1c7cce2f5c17160d,KO/TKO
5df10509264586e5,KO/TKO
5df10509264586e5,U-DEC
5df10509264586e5,S-DEC
5df10509264586e5,KO/TKO
5df10509264586e5,S-DEC
5df10509264586e5,CNC
5df10509264586e5,KO/TKO
5df10509264586e5,KO/TKO
5df10509264586e5,KO/TKO
5df10509264586e5,U-DEC
5df10509264586e5,U-DEC
5df10509264586e5,SUB
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,KO/TKO
bc7f7f0ba3db74d2,SUB
bc7f7f0ba3db74d2,Other - Choke
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,M-DEC
bc7f7f0ba3db74d2,KO/TKO
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,SUB
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,U-DEC
bc7f7f0ba3db74d2,KO/TKO
bc7f7f0ba3db74d2,KO/TKO
ed069a95aaaf4f56,SUB
ed069a95aaaf4f56,SUB
ed069a95aaaf4f56,KO/TKO
ed069a95aaaf4f56,S-DEC
ed069a95aaaf4f56,U-DEC
ed069a95aaaf4f56,KO/TKO
ed069a95aaaf4f56,S-DEC
ed069a95aaaf4f56,U-DEC
ed069a95aaaf4f56,U-DEC
ed069a95aaaf4f56,U-DEC
ed069a95aaaf4f56,KO/TKO
ed069a95aaaf4f56,SUB
ed069a95aaaf4f56,U-DEC
e7bfdb5e0112891e,SUB
e7bfdb5e0112891e,KO/TKO
e7bfdb5e0112891e,SUB
e7bfdb5e0112891e,U-DEC
e7bfdb5e0112891e,SUB
e7bfdb5e0112891e,KO/TKO
e7bfdb5e0112891e,U-DEC
e7bfdb5e0112891e,KO/TKO
e7bfdb5e0112891e,U-DEC
e7bfdb5e0112891e,KO/TKO
e7bfdb5e0112891e,S-DEC
e7bfdb5e0112891e,S-DEC
e7bfdb5e0112891e,U-DEC
c0231720fe516994,KO/TKO
c0231720fe516994,SUB
c0231720fe516994,KO/TKO
c0231720fe516994,S-DEC
c0231720fe516994,U-DEC
c0231720fe516994,U-DEC
c0231720fe516994,S-DEC
c0231720fe516994,U-DEC
c0231720fe516994,KO/TKO
c0231720fe516994,S-DEC
c0231720fe516994,U-DEC
47b7e4e60813b7b2,Overturned
47b7e4e60813b7b2,KO/TKO
47b7e4e60813b7b2,KO/TKO
47b7e4e60813b7b2,U-DEC
47b7e4e60813b7b2,M-DEC
47b7e4e60813b7b2,SUB
47b7e4e60813b7b2,SUB
47b7e4e60813b7b2,U-DEC
47b7e4e60813b7b2,U-DEC
47b7e4e60813b7b2,SUB
47b7e4e60813b7b2,U-DEC
47b7e4e60813b7b2,KO/TKO
20e403a1acfef130,M-DEC
20e403a1acfef130,U-DEC
20e403a1acfef130,S-DEC
20e403a1acfef130,SUB
20e403a1acfef130,KO/TKO
20e403a1acfef130,KO/TKO
20e403a1acfef130,KO/TKO
20e403a1acfef130,SUB
20e403a1acfef130,U-DEC
