id,name,height,weight,reach,dob,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
48544433372ecfa6,Cory Devela,5'0",185,,  --,4.07,41,4.00,47,.1.07,12,62,..0.0,1,3,-2,-3
c8661e204c66f325,Mike Davis,,,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
99bd51917728c25d,Grant Dawson,5'10",155,72,1994,3.17,50,2.56,45,.3.97,34,40,..1.4,7,0,7,1
5e7a48e469770615,Michael Diaz,,260,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
fb3e61720be4690c,Mike Davis,6'0",155,72,1992,6.24,53,6.76,57,.1.39,33,69,..0.0,2,2,0,2
3bbcd63a016d9715,Cameron Dollar,5'11",155,,1987,5.04,38,2.94,61,.0.00,0,0,..0.0,0,1,-1,-1
ee5df903f80c6816,Eldo Xavier Dias,5'11",180,,1964,0.00,0,0.00,0,.0.00,0,0,..0.0,0,1,-1,-1
ce3b669e39418414,Damion Douglas,,170,,  --,0.00,0,0.00,0,.0.00,0,0,..0.0,1,0,1,1
1971869b7e054261,Mike de la Torre,5'11",145,71,1986,3.21,39,4.75,51,.0.36,16,83,..0.0,2,4,-2,-2
8355922d564b152c,Nate Diaz,6'0",170,76,1985,4.51,45,3.73,52,.1.10,30,41,..1.3,19,12,7,-2
