id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum,elo,best_elo,avg_opp_elo
4d8fa64202cee4c1,Jalin Turner,75,170,77,10.83,53,9.25,43,1.69,100,0,0,0,1,-1,-1,1250.93,1273.42,1104.56
c9cf753cfdf77fc2,Marcin Tybura,75,249,78,3.6,52,2.99,52,1.61,61,79,0.1,4,3,1,1,1512.81,1537.94,1294.46
bcd124bcd3d5be46,Ryuki Ueyama,71,180,75,0.13,21,1.4,46,0.5,100,0,1.5,0,2,-2,-2,970.31,1250.27,1156.65
7a39bbac8cc0fa70,Gasan Umalatov,71,170,71,2.23,39,4.1,59,0.75,17,90,0,1,3,-2,-2,1377.97,1377.97,1157.77
eb1723480fa2f96c,Caol Uno,67,155,70,1.91,49,1.9,50,1.95,31,37,0.5,5,8,-3,-1,1282.53,1469.09,1221.11
58258914525740a5,Kengo Ura,69,165,75,1.05,37,2.38,48,2.85,28,50,1.4,0,1,-1,-1,1099.86,1204.44,1104.93
47fcdcaccb58ca80,Elias Urbina,75,185,77,3.85,37,6.17,50,0,0,0,0,0,0,0,0,1067.5,1130.2,1093.96
4b8fb0453a596b8e,Hector Urbina,71,170,73,0.97,38,2.44,39,0,0,38,3.8,1,2,-1,-2,1186.8,1347.42,1169.53
e78c4c3d329c531b,Nick Urso,66,125,66,3.61,45,5.06,36,0,0,0,0,0,0,0,0,1209.68,1263.85,1112.4
c34e5849184b08c3,Yasuhiro Urushitani,65,125,75,3.47,39,4.71,65,0,0,80,0,0,2,-2,-2,1254.03,1380.31,1124.81
f1b2aa7853d1ed6e,Kamaru Usman,72,170,76,3.64,48,1.46,63,3.85,47,100,0.3,8,0,8,1,1734.06,1734.06,1334.03
6546af7ab545b90c,Darren Uyenoyama,66,125,64,1.34,39,2.21,66,1.42,33,35,0.7,5,3,2,-2,1267.17,1321.28,1200.98
54578e5927adea53,Richie Vaculik,66,125,69,3.69,46,4.09,57,3,45,31,1,1,3,-2,-2,1110.21,1322.9,1170.02
8a0be41c0380188d,Charlie Valencia,63,135,64,2.58,37,2.61,77,1.4,53,75,0.5,5,5,0,-2,1281.24,1368.7,1233.72
663b76da637402c3,Victor Valimaki,72,205,75.9047619,3.94,30,2.99,67,0.9,14,0,0,0,2,-2,-2,1155.01,1379.56,1155.88
4d5197f331c47290,Paige VanZant,64,115,65,3.47,51,2.72,43,1.41,34,40,0.7,4,3,1,1,1196.49,1303.83,1180.67
32c3ee378671a5d9,Austin Vanderford,71,170,74,3.9,52,5.19,45,0,0,100,1.9,0,0,0,0,1320.05,1320.05,1068.11
f9b200db02b488d9,Lando Vannata,69,155,71,5.03,42,5.52,54,1.52,41,70,0.4,1,3,-2,0,1326.32,1405.13,1231.22
a54fc2d6fc224dc3,Jamie Varner,68,155,72,2.92,34,2.55,58,3.49,53,66,0.8,7,9,-2,-4,1278.9,1528.02,1240.8
d6d5da3c209884bc,Guilherme Vasconcelos,72,185,74,3.27,29,4.4,70,0,0,0,0,0,1,-1,-1,1259.5,1259.5,1167.55
a148dfe3485be79d,Linton Vassell,76,205,75.9047619,3.39,37,2.13,54,2.46,50,50,0,0,0,0,0,1530.47,1583.76,1234.43
be5cfd73617a5b1a,Javier Vazquez,67,145,69,2.43,36,1.99,72,2.56,52,57,1.5,3,3,0,1,1378.12,1378.12,1171.43
8d4d25fd9218860b,Manny Vazquez,70,125,72,1.47,41,2.67,48,1,33,0,1,0,0,0,0,1323.35,1323.35,1140.49
5731cc327790b731,Matt Veach,71,155,75,1.12,28,4.91,44,3.64,38,100,1.5,1,2,-1,-2,1322.27,1396.34,1145.11
d35c3ed553b71fa2,Joe Vedepo,72,185,75,1.43,42,5.71,38,1.07,20,0,0,0,2,-2,-2,1180.17,1289.6,1118.46
0ff11cc094e887bc,Cain Velasquez,73,240,77,6.38,57,2.29,57,5.15,45,85,0.4,14,2,12,1,1713.04,1723.63,1466.06
fcce75a25c14a804,Bojan Velickovic,72,170,76,2.18,34,2.31,57,0.67,25,55,0.5,2,3,-1,-2,1327.56,1446.86,1281.85
d23ccf4a6c221284,Karlos Vemola,72,185,75,1.67,44,2.13,37,1.93,25,31,1.7,2,4,-2,-2,1440.37,1440.37,1160.12
2f1a257d6777096d,Luigi Vendramini,68,170,75,0.63,23,2.37,53,0,0,0,2.4,0,1,-1,-1,1252.64,1264.96,1065.61
602bb270f2bdbf02,Jerrel Venetiaan,73,195,75.9047619,0.81,33,1.51,67,0,0,60,0,1,1,0,-1,1132.4,1132.4,1125.71
