,id,name,id_opp,name_opp,event_id,event_name,elo,elo_opp,height_diff,reach_diff,ss_min_diff,str_acc_diff,str_a_min_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,wins_diff,losses_diff,momentum_diff,wl_diff_diff,outcome
55,a1f6999fe57236e0,Wanderlei Silva,0ee783aa00e468f0,Vitor Belfort,32a3025d5db456ae,UFC - Ultimate Brazil,1000.0,1020.336033934383,-1.0,-0.0,1.2,-6.0,-0.6400000000000001,10.0,-0.050000000000000044,-7.0,9.0,-0.0,3.0,-3.0,2.0,6.0,L
56,b44f39a5c6596953,Pedro Rizzo,21b8a0f5c231096f,Mark Coleman,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1023.583309353946,990.7494047736503,0.0,0.0,0.050000000000000044,-18.0,0.3999999999999999,10.0,-3.63,-12.0,28.0,-0.8,-7.0,-1.0,-3.0,-6.0,W
57,21b8a0f5c231096f,Mark Coleman,b44f39a5c6596953,Pedro Rizzo,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,990.7494047736503,1023.583309353946,0.0,-0.0,-0.050000000000000044,18.0,-0.3999999999999999,-10.0,3.63,12.0,-28.0,0.8,7.0,1.0,3.0,6.0,L
58,cedfdf8d423d500c,Pat Miletich,c8cca8f3de5be4b4,Jorge Patino,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1030.0,1000.0,2.0,0.0,0.45999999999999996,15.0,-1.4800000000000002,10.0,1.42,75.0,4.0,1.0,8.0,-1.0,2.0,9.0,W
59,c8cca8f3de5be4b4,Jorge Patino,cedfdf8d423d500c,Pat Miletich,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1000.0,1030.0,-2.0,-0.0,-0.45999999999999996,-15.0,1.4800000000000002,-10.0,-1.42,-75.0,-4.0,-1.0,-8.0,1.0,-2.0,-9.0,L
60,03688dc3c3af3ac1,Bas Rutten,b76ed59283d3559c,Tsuyoshi Kohsaka,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1000.0,1055.9104737896205,2.0,0.8769230769230774,3.71,23.0,-2.35,25.0,-1.32,-20.0,-33.0,-0.4,-1.0,-5.0,4.0,4.0,W
61,b76ed59283d3559c,Tsuyoshi Kohsaka,03688dc3c3af3ac1,Bas Rutten,c9bbf1a0285a8076,UFC 18: The Road to the Heavyweight Title,1055.9104737896205,1000.0,-2.0,-0.8769230769230774,-3.71,-23.0,2.35,-25.0,1.32,20.0,33.0,0.4,1.0,5.0,-4.0,-4.0,L
62,6859f67468ba8489,Kevin Randleman,33e33d51f289d2a1,Maurice Smith,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,1000.0,1025.5398006805076,-4.0,0.8769230769230774,0.8500000000000001,8.0,0.6500000000000001,-3.0,1.1099999999999999,6.0,10.0,-0.09999999999999998,2.0,9.0,-8.0,-7.0,W
63,33e33d51f289d2a1,Maurice Smith,6859f67468ba8489,Kevin Randleman,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,1025.5398006805076,1000.0,4.0,-0.8769230769230774,-0.8500000000000001,-8.0,-0.6500000000000001,3.0,-1.1099999999999999,-6.0,-10.0,0.09999999999999998,-2.0,-9.0,8.0,7.0,L
64,8d26912cd2aeb366,Jeremy Horn,a390eb8a9b2df298,Chuck Liddell,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,942.5839895213327,1000.0,-1.0,-2.0,-1.7800000000000002,4.0,-0.72,-1.0,1.3900000000000001,-37.0,-52.0,1.1,-9.0,0.0,0.0,-9.0,W
65,a390eb8a9b2df298,Chuck Liddell,8d26912cd2aeb366,Jeremy Horn,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,1000.0,942.5839895213327,1.0,2.0,1.7800000000000002,-4.0,0.72,1.0,-1.3900000000000001,37.0,52.0,-1.1,9.0,0.0,0.0,9.0,L
66,2f732dd9210d301f,Tito Ortiz,946f341df6472ee0,Guy Mezger,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,970.0,1030.0,2.0,-1.8769230769230774,0.29000000000000004,14.0,1.5199999999999998,-12.0,2.08,-15.0,-34.0,0.6,7.0,4.0,-2.0,3.0,W
67,946f341df6472ee0,Guy Mezger,2f732dd9210d301f,Tito Ortiz,a220be6d41d6f97d,UFC 19: Ultimate Young Guns,1030.0,970.0,-2.0,1.8769230769230774,-0.29000000000000004,-14.0,-1.5199999999999998,12.0,-2.08,15.0,34.0,-0.6,-7.0,-4.0,2.0,-3.0,L
68,b44f39a5c6596953,Pedro Rizzo,1dab0d1d81dd06db,Tra Telligman,a7b48e18ca27795d,UFC 20: Battle for the Gold,1050.756612134206,970.0,-1.0,0.0,0.09999999999999987,-1.0,0.0,-6.0,-0.61,-72.0,-2.0,0.0,7.0,4.0,-2.0,3.0,W
69,1dab0d1d81dd06db,Tra Telligman,b44f39a5c6596953,Pedro Rizzo,a7b48e18ca27795d,UFC 20: Battle for the Gold,970.0,1050.756612134206,1.0,-0.0,-0.09999999999999987,1.0,-0.0,6.0,0.61,72.0,2.0,-0.0,-7.0,-4.0,2.0,-3.0,L
70,03688dc3c3af3ac1,Bas Rutten,6859f67468ba8489,Kevin Randleman,a7b48e18ca27795d,UFC 20: Battle for the Gold,1034.7864523974756,1032.201320042794,3.0,0.0,4.33,7.0,0.94,22.0,-2.0,-56.0,-30.0,-0.8,-5.0,-12.0,10.0,7.0,W
71,6859f67468ba8489,Kevin Randleman,03688dc3c3af3ac1,Bas Rutten,a7b48e18ca27795d,UFC 20: Battle for the Gold,1032.201320042794,1034.7864523974756,-3.0,-0.0,-4.33,-7.0,-0.94,-22.0,2.0,56.0,30.0,0.8,5.0,12.0,-10.0,-7.0,L
72,8d26912cd2aeb366,Jeremy Horn,4f74c8be51db8a37,Daiju Takase,1a1a4d7a29041d77,UFC 21: Return of the Champions,977.4970428841301,1000.0,1.0,-1.0,0.7,9.0,0.3500000000000001,8.0,0.9900000000000001,21.0,8.0,-0.09999999999999987,5.0,2.0,-2.0,3.0,W
73,4f74c8be51db8a37,Daiju Takase,8d26912cd2aeb366,Jeremy Horn,1a1a4d7a29041d77,UFC 21: Return of the Champions,1000.0,977.4970428841301,-1.0,1.0,-0.7,-9.0,-0.3500000000000001,-8.0,-0.9900000000000001,-21.0,-8.0,0.09999999999999987,-5.0,-2.0,2.0,-3.0,L
74,fcaae0385b514f11,Frank Shamrock,2f732dd9210d301f,Tito Ortiz,afaad7d6a581e307,UFC 22: Only One Can be Champion,1030.0,1005.1299207203085,-5.0,1.0,2.16,7.0,1.7800000000000002,-3.0,-2.12,15.0,-17.0,0.5000000000000001,-7.0,-8.0,1.0,1.0,W
75,2f732dd9210d301f,Tito Ortiz,fcaae0385b514f11,Frank Shamrock,afaad7d6a581e307,UFC 22: Only One Can be Champion,1005.1299207203085,1030.0,5.0,-1.0,-2.16,-7.0,-1.7800000000000002,3.0,2.12,-15.0,17.0,-0.5000000000000001,7.0,8.0,-1.0,-1.0,L
76,9f488f520ed25bbf,Kenichi Yamamoto,4f74c8be51db8a37,Daiju Takase,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1000.0,968.0596509774934,0.0,0.0,-0.19,16.0,0.29000000000000004,-9.0,-0.84,-17.0,-11.0,-0.8999999999999999,-2.0,-2.0,-3.0,0.0,W
77,4f74c8be51db8a37,Daiju Takase,9f488f520ed25bbf,Kenichi Yamamoto,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,968.0596509774934,1000.0,0.0,-0.0,0.19,-16.0,-0.29000000000000004,9.0,0.84,17.0,11.0,0.8999999999999999,2.0,2.0,3.0,0.0,L
78,9f488f520ed25bbf,Kenichi Yamamoto,d71d968dc6ecfdaf,Katsuhisa Fujii,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1027.2497919456046,1000.0,0.0,-0.8769230769230774,-3.7,-4.0,-2.5,-26.0,-2.14,-25.0,-40.0,-1.8,0.0,2.0,-3.0,-2.0,W
79,d71d968dc6ecfdaf,Katsuhisa Fujii,9f488f520ed25bbf,Kenichi Yamamoto,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1000.0,1027.2497919456046,0.0,0.8769230769230774,3.7,4.0,2.5,26.0,2.14,25.0,40.0,1.8,0.0,-2.0,3.0,2.0,L
80,b44f39a5c6596953,Pedro Rizzo,b76ed59283d3559c,Tsuyoshi Kohsaka,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1073.9064473475873,1021.1240213921448,2.0,0.0,0.050000000000000044,-4.0,-1.3900000000000001,-4.0,-1.06,8.0,45.0,-0.4,5.0,4.0,-3.0,1.0,W
81,b76ed59283d3559c,Tsuyoshi Kohsaka,b44f39a5c6596953,Pedro Rizzo,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1021.1240213921448,1073.9064473475873,-2.0,-0.0,-0.050000000000000044,4.0,1.3900000000000001,4.0,1.06,-8.0,-45.0,0.4,-5.0,-4.0,3.0,-1.0,L
82,6859f67468ba8489,Kevin Randleman,6291ac0a3726732f,Pete Williams,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1002.4245341944398,1001.3864685158492,-5.0,0.8769230769230774,0.65,-8.0,-1.65,17.0,0.15999999999999992,16.0,14.0,-0.09999999999999998,5.0,7.0,-3.0,-2.0,W
83,6291ac0a3726732f,Pete Williams,6859f67468ba8489,Kevin Randleman,a8fa0c4e95512806,UFC 23: Ultimate Japan 2,1001.3864685158492,1002.4245341944398,5.0,-0.8769230769230774,-0.65,8.0,1.65,-17.0,-0.15999999999999992,-16.0,-14.0,0.09999999999999998,-5.0,-7.0,3.0,2.0,L
