,id,name,height,weight,reach,ss_min,str_acc,str_a_min,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,wl_diff,momentum
1836,657c21cb133f1445,Anthony Ruiz,74,205.0,75.87692307692308,1.74,56,1.91,26,1.09,25,14,0.0,1,4,-3,-3
1837,353de740bb6c7e75,Mike Russow,73,255.0,73.0,1.55,47,2.9,59,4.66,43,0,0.7,5,3,2,-2
1838,03688dc3c3af3ac1,Bas Rutten,73,205.0,75.87692307692308,5.59,61,2.06,79,0.0,0,0,0.0,3,0,3,3
1839,b1669a810fae4220,Yusup Saadulaev,66,135.0,75.0,0.57,45,0.96,66,5.73,60,0,1.0,1,1,0,1
1840,2650e2f846a30f64,Amir Sadollah,70,170.0,74.0,4.71,46,3.55,60,0.57,27,60,0.3,6,5,1,-2
1841,9ba2226646046b63,Frankie Saenz,66,135.0,66.0,3.99,47,3.09,54,1.8,32,62,0.1,5,3,2,2
1842,88d7b6d8230e1f3f,Saparbeg Safarov,73,205.0,78.0,3.81,29,6.1,45,2.54,28,100,0.0,0,2,-2,-2
1843,0749d968e932df53,Tarec Saffiedine,70,170.0,70.0,4.05,47,3.06,62,0.52,36,84,0.1,9,6,3,-3
1844,4ac1ecf8ce59ef23,Jason Saggo,71,155.0,71.0,2.5,39,2.94,52,2.33,40,23,0.0,3,3,0,-2
1845,fb41432b622992a9,Lukasz Sajewski,68,155.0,71.0,2.06,35,3.88,57,1.01,25,66,0.0,0,3,-3,-3
1846,94a5aaf573f780ad,Yukio Sakaguchi,69,185.0,75.0,0.3,25,2.4,50,4.5,100,0,9.0,0,1,-1,-1
1847,441eacbe20e0e80b,Augusto Sakai,76,265.0,75.0,6.17,49,3.33,58,0.32,100,88,0.0,1,0,1,1
1848,7f955f71fa2ce7ac,Alessio Sakara,72,185.0,72.0,3.96,47,2.8,59,2.18,78,62,0.0,6,8,-2,-4
1849,d7907a9a968e4d29,Wataru Sakata,69,195.0,75.87692307692308,1.11,61,2.08,31,0.0,0,0,0.0,0,1,-1,-1
1850,4690d47bf725fd98,Gokhan Saki,72,205.0,73.0,7.09,58,4.57,53,0.0,0,100,0.0,1,1,0,-1
1851,9b5b5a75523728f3,Kazushi Sakuraba,72,185.0,75.0,1.26,41,2.03,51,1.26,31,48,1.7,26,15,11,-4
1852,85e26e2468b4e82f,Hayato Sakurai,67,168.0,75.0,2.45,49,1.94,59,1.87,69,56,0.3,15,9,6,2
1853,ff9578cdbfabd323,Ryuta Sakurai,67,183.0,75.0,1.8,48,3.44,58,0.52,100,36,1.6,0,3,-3,-3
1854,9b198c73e3d0d289,Justin Salas,68,155.0,70.0,3.42,43,2.96,68,2.43,20,0,0.0,3,4,-1,-2
1855,394f55ebca199124,Ivan Salaverry,72,185.0,75.0,3.01,47,1.19,76,0.49,18,36,2.5,4,4,0,-2
