name,ELO_x,prevdate,Best_Rating_to_Date,Avg_Elo_of_opponets,frFX
Hector Sandoval,1344.25,8/5/2017 1:12,1399.77,1164.39,18
Nick Newell,1344.24,7/24/2018 1:12,1424.24,1119.55,16
Jack Marshman,1344.22,11/3/2018 0:00,1484.95,1144.75,33
Yoshihiro Nakao,1344.01,12/30/2010 1:55,1391.51,1256.64,14
Daniel Omielanczuk,1343.98,3/24/2018 0:57,1446.14,1156.57,29
Alexandre Ferreira,1343.72,11/13/2010 1:12,1379.52,1107.75,24
Cody Pfister,1343.14,10/28/2017 0:57,1343.14,1159.99,24
Clifford Starks,1342.64,11/18/2017 2:09,1451.08,1220.13,19
Shawn Jordan,1342.63,7/19/2018 0:28,1434.65,1182.13,30
Louis Smolka,1342.63,6/23/2018 3:50,1487.39,1213.53,21
Louis Gaudinot,1342.53,3/19/2016 1:55,1342.53,1227.81,16
Tony Sims,1342.51,1/2/2016 1:55,1440.02,1199.69,16
Patrick Cummins,1342.08,10/27/2018 0:00,1442.35,1334.05,16
David Heath,1341.93,12/8/2012 1:26,1355.8,1164.12,26
Jesse Bongfeldt,1341.73,11/26/2011 3:50,1411.09,1085.47,31
Naoki Inoue,1341.58,6/23/2018 0:43,1406.06,1068.31,14
Devin Cole,1341.4,11/3/2012 2:24,1402.96,1186.99,32
Kyung Ho Kang,1341.12,8/4/2018 1:12,1386.36,1164.06,23
Emanuel Newton,1341.04,10/13/2017 2:52,1695.1,1289.17,40
James Head,1340.93,8/28/2013 0:43,1402.35,1257.29,13
Ansar Chalangov,1340.84,12/3/2009 2:52,1360.04,1160.22,19
Adam Wieczorek,1340.53,11/3/2018 0:00,1397.59,1127.46,12
Shane Roller,1340.36,10/5/2012 0:43,1437.71,1291.47,18
Igor Vovchanchyn,1340.17,8/28/2005 0:14,1602.96,1126.48,66
Francisco France,1339.94,2/18/2017 2:09,1420.47,1219.94,19
Andre Soukhamthath,1339.87,10/27/2018 0:00,1340.12,1171,22
Marina Rodriguez,1339.85,9/22/2018 0:00,1353.5,1075.04,11
Caros Fodor,1339.77,6/30/2017 0:28,1430.26,1195.78,24
Cole Miller,1339.55,12/17/2016 1:55,1470.87,1203.92,42
Matt Hamill,1339.21,4/14/2018 3:07,1499.29,1313.64,22
Humberto Bandenay,1338.82,5/19/2018 0:57,1388.55,1113.83,21
Lewis Gonzalez,1338.51,8/27/2016 2:24,1432.56,1208.22,15
Joanne Calderwood,1338.48,8/25/2018 0:00,1401.31,1224.62,17
Melvin Manhoef,1338.46,4/8/2017 1:12,1481.76,1226.5,47
Krzysztof Soszynski,1338.35,12/10/2011 1:40,1394.18,1155.23,42
Cory Hendricks,1338.24,12/23/2017 0:57,1338.24,1127.68,13
Khalid Taha,1338.12,7/22/2018 1:12,1383.01,1114.84,16
Reza Madadi,1338.06,5/28/2017 0:57,1425.04,1206.89,20
Andrea Lee,1337.92,5/19/2018 2:09,1337.92,1102.68,15
Jake Ellenberger,1337.9,8/25/2018 0:00,1700.12,1314.91,47
James Te Huna,1337.65,3/19/2016 1:55,1524.2,1227.44,25
Abner Lloveras,1337.52,3/10/2018 2:09,1503.73,1157.84,35
Augusto Montano,1337.06,9/17/2016 1:12,1422.51,1136.47,18
Anthony Adams,1336.97,7/17/2018 0:43,1408.42,1129.3,13
Jake Collier,1336.94,11/11/2017 0:28,1336.94,1187.65,15
Miguel Torres,1336.75,9/24/2016 2:38,1651.22,1165.99,53
Jason Jackson,1336.73,8/17/2018 0:00,1336.73,1171.94,16
Chris Tuchscherer,1336.58,2/27/2011 0:28,1536.93,1175.02,26
Marc Stevens,1336.55,6/29/2018 1:40,1354.42,1147.29,36
Nick Ring,1336.42,6/26/2015 2:24,1483.18,1177.72,20
Issei Tamura,1336.36,3/11/2018 2:52,1336.36,1234.9,20
Sheldon Westcott,1335.99,1/2/2016 0:14,1385.92,1188.23,15
Tatsuya Mizuno,1335.8,2/24/2018 2:52,1335.8,1216.35,31
Maximo Blanco,1335.49,9/17/2016 1:40,1411.84,1269.45,22
Taila Santos,1335.27,8/13/2016 2:09,1335.27,993.26,15
Zach Makovsky,1335.16,10/14/2017 1:40,1528.19,1275.69,29
Roberto Sanchez,1335.05,9/8/2018 0:00,1385.49,1184.74,13
Luke Jumeau,1334.88,2/10/2018 0:14,1337.15,1089.89,19
Yusaku Nakamura,1334.14,9/30/2018 0:00,1479.25,1197.89,21
Noad Lahat,1334.09,8/17/2018 0:00,1355.85,1185.35,16
Ion Cutelaba,1333.89,7/28/2018 1:26,1333.89,1130.72,18
Jessica Eye,1333.69,6/23/2018 2:38,1457.24,1198.17,25
Poliana Botelho,1333.07,5/19/2018 1:12,1333.07,1152.09,8
Nick Thompson,1332.83,4/9/2011 1:26,1619.97,1176.65,53
KJ Noons,1332.63,2/6/2016 1:26,1432.15,1319.1,23
Kazunori Yokota,1332.61,6/30/2018 4:19,1605.85,1237.15,38
Tim Williams,1332.58,8/25/2018 0:00,1423.47,1216.85,24
Nate James,1332.41,9/19/2014 2:52,1332.41,1145.43,23
Mike Pyle,1332.32,3/3/2018 0:43,1641.57,1302.48,42
Kazuhiro Nakamura,1332.2,12/21/2014 3:36,1452.91,1275.55,34
Mitsuhiro Ishida,1332.12,12/16/2011 2:09,1518.83,1228.82,29
Aaron Rosa,1331.97,10/11/2013 1:40,1425.95,1176.69,26
Boston Salmon,1331.79,7/11/2017 0:43,1331.79,1133.83,10
Alonzo Menifield,1331.44,6/12/2018 1:12,1331.44,1153.4,7
Justin Wren,1331.12,3/3/2017 1:40,1331.12,1076.39,17
John Allan,1330.84,4/7/2018 2:24,1330.84,1068,19
James Terry,1330.74,9/29/2018 0:00,1376.17,1180.62,30
Rory Markham,1330.72,5/20/2016 2:38,1414.49,1173.77,23
Ed Herman,1330.29,10/27/2018 0:00,1505.64,1266.07,45
Casey Kenney,1330.22,6/29/2018 2:09,1330.22,1152.52,12
Brandon Thatch,1329.97,12/30/2016 0:28,1507.91,1230,19
Don Madge,1329.62,10/27/2018 0:00,1329.62,1141.8,12
Jeremy Horn,1329.53,11/14/2015 0:57,1603.44,1139.93,119
Martin Bravo,1329.13,7/6/2018 2:09,1459.12,1120.93,16
Jason Gonzalez,1329.09,9/16/2017 1:40,1367.22,1130.29,20
Pascal Krauss,1329.04,8/31/2013 1:12,1377.52,1146.84,13
Shelton Graves,1329.02,8/8/2017 0:14,1329.02,1173.52,11
Ricky Turcios,1328.89,7/11/2017 0:43,1397.25,1076.93,13
David Baron,1328.5,2/15/2014 2:52,1509.36,1186.88,22
Marcos Galvao,1328.04,7/19/2018 0:43,1551.44,1310.55,30
Charles Byrd,1328.01,9/8/2018 0:00,1392.13,1166.1,15
Pearl Gonzalez,1327.94,9/1/2018 0:00,1327.94,1065.43,20
Austin Springer,1327.84,6/19/2018 0:43,1387.8,1130.31,17
Nick Pace,1327.83,2/18/2017 2:24,1327.83,1172.81,13
Chris Horodecki,1327.71,11/4/2016 3:21,1501.4,1236.72,30
Clay French,1327.7,2/8/2014 2:09,1468.3,1172.78,27
Bojan Velickovic,1327.56,10/20/2018 5:00,1446.86,1281.85,27
Gabriel Gonzaga,1327.47,5/5/2018 2:38,1500.17,1339.3,29
